Codigo,Nome,Cargo,Ano,Mês,Assiduidade,Pontualidade,Cumprimento Tarefas,Comportamento,Nota Final,Classificação
1224,Ricardo Coelho,Contabilista,2022,novembro,5,7,6,8,6.5,Bom
1225,Maria Coelho,Supervisor,2022,agosto,8,4,9,8,7.25,Bom
1226,Filipa Marques,Assistente Financeiro,2021,março,5,7,6,8,6.5,Bom
1227,Inês Barros,Gestor de Projetos,2022,julho,9,6,7,8,7.5,Bom
1228,Lúcia Raposo,Assistente Administrativo,2023,agosto,7,7,8,6,7.0,Bom
1229,Beatriz Morais,Engenheiro,2021,novembro,4,7,9,8,7.0,Bom
1230,Ricardo Azevedo,Coordenador,2022,agosto,9,7,3,8,6.75,Bom
1231,Cláudia Silva,Designer,2022,julho,8,7,8,8,7.75,Bom
1232,Bruno Barros,Designer,2022,julho,9,7,7,8,7.75,Bom
1233,Hugo Vieira,Técnico de Informática,2023,outubro,9,7,8,8,8.0,Muito Bom
1234,Helena Silva,Técnico de Laboratório,2021,maio,8,6,9,5,7.0,Bom
1235,Luís Rocha,Diretor de Departamento,2023,janeiro,9,7,9,8,8.25,Muito Bom
1236,Gonçalo Morais,Coordenador,2022,agosto,7,7,7,8,7.25,Bom
1237,Luís Monteiro,Marketing,2024,outubro,9,7,6,8,7.5,Bom
1238,Fernando Pereira,Gestor de Projetos,2023,março,9,7,9,8,8.25,Muito Bom
1239,Sara Alves,Analista de Dados,2021,setembro,6,5,9,8,7.0,Bom
1240,Beatriz Matos,Supervisor,2024,novembro,9,7,8,8,8.0,Muito Bom
1241,Mariana Rocha,Supervisor,2022,janeiro,9,7,9,8,8.25,Muito Bom
1242,Inês Pereira,Recursos Humanos,2023,novembro,9,7,8,8,8.0,Muito Bom
1243,Raquel Nunes,Assistente de Direção,2024,novembro,9,7,9,7,8.0,Muito Bom
1244,Laura Pereira,Consultor,2022,julho,7,7,7,7,7.0,Bom
1245,Catarina Manave,Recursos Humanos,2023,junho,9,6,7,8,7.5,Bom
1246,Sara Manave,Diretor de Departamento,2021,fevereiro,8,7,7,8,7.5,Bom
1247,Ana Conceiao,Marketing,2023,agosto,8,7,6,8,7.25,Bom
1248,António Rocha,Diretor de Departamento,2021,março,5,7,9,8,7.25,Bom
1249,Rui Nunes,Consultor,2024,junho,9,7,8,7,7.75,Bom
1250,Raquel Pereira,Engenheiro,2021,dezembro,9,7,9,8,8.25,Muito Bom
1251,Gonçalo Monteiro,Consultor,2024,novembro,9,7,5,8,7.25,Bom
1252,Mariana Soares,Coordenador,2022,março,7,7,9,8,7.75,Bom
1253,Teresa Monteiro,Técnico de Laboratório,2024,fevereiro,7,7,7,7,7.0,Bom
1254,Eduarda Coelho,Analista de Dados,2023,abril,9,6,5,8,7.0,Bom
1255,Hugo Coelho,Designer,2024,janeiro,9,7,5,8,7.25,Bom
1256,Rui Cardoso,Designer,2022,fevereiro,7,7,7,8,7.25,Bom
1257,Cláudia Neves,Marketing,2021,janeiro,7,7,9,8,7.75,Bom
1258,Sara Machava,Designer,2022,dezembro,8,7,9,7,7.75,Bom
1259,António Cruz,Secretariado,2024,agosto,9,7,9,7,8.0,Muito Bom
1260,Rui Alves,Engenheiro,2023,setembro,9,7,7,8,7.75,Bom
1261,Hugo Monteiro,Técnico de Laboratório,2022,outubro,7,7,9,8,7.75,Bom
1262,Sara Lopes,Consultor,2024,fevereiro,9,6,9,8,8.0,Muito Bom
1263,Gonçalo Santos,Auditor,2023,fevereiro,9,7,9,8,8.25,Muito Bom
1264,Vítor Vieira,Contabilista,2024,janeiro,9,6,6,7,7.0,Bom
1265,André Mendes,Marketing,2022,agosto,8,6,8,8,7.5,Bom
1266,Fernando Massango,Marketing,2023,maio,6,6,8,8,7.0,Bom
1267,Marcelo Martins,Técnico de Laboratório,2021,dezembro,3,7,9,8,6.75,Bom
1268,André Machel,Analista de Dados,2021,agosto,5,4,9,8,6.5,Bom
1269,Rui Martins,Técnico de Informática,2024,fevereiro,8,7,9,7,7.75,Bom
1270,Carlos Teixeira,Recursos Humanos,2024,março,8,3,8,8,6.75,Bom
1271,Filipa Monteiro,Gestor de Projetos,2022,abril,9,7,7,8,7.75,Bom
1272,Sofia Santos,Assistente de Direção,2023,janeiro,9,7,7,8,7.75,Bom
1273,Patrícia Costa,Técnico de Informática,2024,dezembro,5,7,9,8,7.25,Bom
1274,Helena Vieira,Secretariado,2022,maio,9,7,9,8,8.25,Muito Bom
1275,Ana Santos,Secretariado,2021,abril,6,6,8,7,6.75,Bom
1276,Inês Santos,Coordenador,2023,outubro,9,5,8,8,7.5,Bom
1277,Carlos Fernandes,Coordenador,2023,fevereiro,8,7,9,6,7.5,Bom
1278,Beatriz Rocha,Analista de Dados,2022,janeiro,7,7,9,8,7.75,Bom
1279,Lúcia Marques,Assistente de Direção,2021,setembro,9,7,9,8,8.25,Muito Bom
1280,Sofia Ferreira,Técnico de Informática,2021,julho,9,5,9,8,7.75,Bom
1281,Marta Rocha,Engenheiro,2021,julho,7,7,9,8,7.75,Bom
1282,Carlos Pereira,Engenheiro,2022,maio,9,7,9,8,8.25,Muito Bom
1283,Ricardo Ribeiro,Técnico de Informática,2023,novembro,7,6,7,8,7.0,Bom
1284,Lúcia Marques,Gestor de Projetos,2021,julho,6,5,8,8,6.75,Bom
1285,Sofia Gomes,Auditor,2022,junho,8,4,6,8,6.5,Bom
1286,Ricardo Cardoso,Coordenador,2021,janeiro,8,7,6,8,7.25,Bom
1287,Beatriz Matos,Técnico de Laboratório,2021,agosto,5,7,9,7,7.0,Bom
1288,Eduarda Pereira,Assistente Administrativo,2024,janeiro,9,7,8,8,8.0,Muito Bom
1289,Marcelo Albazine,Consultor,2023,outubro,9,6,9,8,8.0,Muito Bom
1290,Mariana Mendes,Gestor de Projetos,2022,novembro,9,6,7,8,7.5,Bom
1291,Pedro Soares,Diretor de Departamento,2021,setembro,9,7,9,8,8.25,Muito Bom
1292,Marta Ribeiro,Analista de Dados,2023,junho,8,7,8,8,7.75,Bom
1293,Raquel Baptista,Consultor,2024,julho,9,7,5,8,7.25,Bom
1294,Alexandre Silva,Designer,2021,outubro,7,7,8,8,7.5,Bom
1295,Fernando Benjamim,Diretor de Departamento,2021,maio,8,7,6,8,7.25,Bom
1296,Hugo Gomes,Técnico de Informática,2022,maio,8,6,9,8,7.75,Bom
1297,Filipa Cruz,Analista de Dados,2024,setembro,9,7,9,8,8.25,Muito Bom
1298,Marcelo Santos,Gestor de Projetos,2024,outubro,9,5,9,8,7.75,Bom
1299,Francisco Machado,Supervisor,2021,abril,8,7,9,8,8.0,Muito Bom
1300,Teresa Ferreira,Engenheiro,2023,maio,9,7,6,7,7.25,Bom
1301,Pedro Neves,Assistente de Direção,2022,fevereiro,7,7,7,8,7.25,Bom
1302,Filipa Pereira,Designer,2023,maio,8,7,8,8,7.75,Bom
1303,Marcelo Monteiro,Analista de Dados,2021,agosto,9,7,5,8,7.25,Bom
1304,Lúcia Machel,Consultor,2024,fevereiro,9,7,9,8,8.25,Muito Bom
1305,Paulo Correia,Analista de Dados,2024,maio,9,7,9,8,8.25,Muito Bom
1306,Hugo Monteiro,Assistente de Direção,2024,dezembro,9,7,7,8,7.75,Bom
1307,Gonçalo Benjamim,Recursos Humanos,2023,setembro,9,7,7,8,7.75,Bom
1308,Laura Ferreira,Coordenador,2023,julho,6,7,8,8,7.25,Bom
1309,Alexandre Teixeira,Consultor,2022,junho,8,7,8,8,7.75,Bom
1310,Carlos Monteiro,Técnico de Laboratório,2022,maio,9,7,9,8,8.25,Muito Bom
1311,Tânia Moreira,Contabilista,2023,agosto,9,6,8,8,7.75,Bom
1312,Sara Ribeiro,Técnico de Laboratório,2024,março,9,7,8,8,8.0,Muito Bom
1313,Nuno Monteiro,Assistente de Direção,2023,março,9,6,8,8,7.75,Bom
1314,Sofia Monteiro,Técnico de Laboratório,2023,dezembro,5,6,7,8,6.5,Bom
1315,Maria Moreira,Recursos Humanos,2022,março,9,7,7,8,7.75,Bom
1316,Manuel Mendes,Assistente Administrativo,2022,agosto,9,6,9,8,8.0,Muito Bom
1317,Fernando Monteiro,Assistente de Direção,2022,maio,7,7,9,6,7.25,Bom
1318,Luís Correia,Coordenador,2023,maio,9,7,8,8,8.0,Muito Bom
1319,Helena Mendes,Engenheiro,2024,maio,9,7,8,8,8.0,Muito Bom
1320,Miguel Soares,Assistente Administrativo,2024,dezembro,9,7,8,8,8.0,Muito Bom
1321,Carlos Ribeiro,Contabilista,2023,dezembro,7,7,9,8,7.75,Bom
1322,Miguel Monteiro,Engenheiro,2021,julho,6,7,9,8,7.5,Bom
1323,Cláudia Morais,Recursos Humanos,2024,outubro,8,5,7,8,7.0,Bom
1324,Ana Teixeira,Engenheiro,2022,junho,8,7,9,8,8.0,Muito Bom
1325,Hugo Albazine,Assistente Administrativo,2024,novembro,9,6,8,8,7.75,Bom
1326,Carlos Barros,Gestor de Projetos,2023,fevereiro,8,7,8,8,7.75,Bom
1327,Laura Benjamim,Técnico de Laboratório,2022,julho,9,7,9,6,7.75,Bom
1328,Maria Silva,Assistente Financeiro,2022,setembro,9,5,8,7,7.25,Bom
1329,Helena Chicava,Técnico de Laboratório,2021,junho,9,5,8,8,7.5,Bom
1330,Filipa Marques,Coordenador,2024,agosto,6,7,7,7,6.75,Bom
1331,Marcelo Chicava,Marketing,2021,novembro,9,6,9,8,8.0,Muito Bom
1332,Alexandre Ribeiro,Recursos Humanos,2023,julho,9,7,9,6,7.75,Bom
1333,Laura Cruz,Marketing,2023,novembro,8,7,7,7,7.25,Bom
1334,Rui Chicava,Assistente Administrativo,2022,maio,8,7,7,8,7.5,Bom
1335,Ricardo Matos,Analista de Dados,2024,agosto,6,7,6,8,6.75,Bom
1336,Ricardo Massango,Engenheiro,2021,agosto,4,7,9,8,7.0,Bom
1337,Diana Nunes,Assistente de Direção,2021,dezembro,9,6,9,8,8.0,Muito Bom
1338,Tânia Marques,Assistente Administrativo,2022,janeiro,9,7,7,8,7.75,Bom
1339,Paulo Correia,Coordenador,2021,junho,5,7,9,7,7.0,Bom
1340,Hugo Cardoso,Secretariado,2023,abril,9,7,7,8,7.75,Bom
1341,Diana Alves,Técnico de Informática,2024,agosto,8,7,3,8,6.5,Bom
1342,Catarina Teixeira,Secretariado,2022,agosto,9,7,9,8,8.25,Muito Bom
1343,Helena Mendes,Assistente Financeiro,2024,fevereiro,8,7,6,7,7.0,Bom
1344,Diana Baptista,Marketing,2023,abril,9,7,5,7,7.0,Bom
1345,Francisco Raposo,Assistente de Direção,2022,fevereiro,5,6,8,8,6.75,Bom
1346,Patrícia Machel,Técnico de Laboratório,2024,outubro,9,7,7,8,7.75,Bom
1347,Catarina Baptista,Consultor,2022,março,9,7,9,8,8.25,Muito Bom
1348,Sara Silva,Designer,2023,abril,8,7,8,7,7.5,Bom
1349,Laura Silva,Designer,2023,maio,8,7,9,6,7.5,Bom
1350,Teresa Cardoso,Secretariado,2024,dezembro,9,5,7,8,7.25,Bom
1351,Patrícia Rocha,Supervisor,2022,dezembro,9,7,9,7,8.0,Muito Bom
1352,Laura Conceiao,Assistente Administrativo,2022,setembro,9,7,6,8,7.5,Bom
1353,Beatriz Matos,Assistente de Direção,2024,junho,4,4,8,8,6.0,Regular
1354,Francisco Martins,Assistente Administrativo,2023,fevereiro,6,7,6,8,6.75,Bom
1355,Inês Pinto,Coordenador,2023,fevereiro,9,7,6,8,7.5,Bom
1356,Ana Albazine,Assistente de Direção,2022,dezembro,9,7,8,8,8.0,Muito Bom
1357,Fernando Benjamim,Secretariado,2023,maio,9,5,7,8,7.25,Bom
1358,Beatriz Lopes,Designer,2024,abril,9,7,8,8,8.0,Muito Bom
1359,José Massango,Engenheiro,2022,julho,9,7,8,8,8.0,Muito Bom
1360,Carlos Mendes,Técnico de Laboratório,2023,abril,7,6,9,8,7.5,Bom
1361,Ana Teixeira,Auditor,2023,julho,6,6,6,8,6.5,Bom
1362,Lúcia Lopes,Recursos Humanos,2023,fevereiro,7,7,7,8,7.25,Bom
1363,Gonçalo Lopes,Analista de Dados,2023,outubro,9,7,7,8,7.75,Bom
1364,Catarina Morais,Marketing,2021,junho,9,7,7,7,7.5,Bom
1365,Sofia Conceiao,Técnico de Informática,2022,dezembro,6,7,8,8,7.25,Bom
1366,Paulo Baptista,Consultor,2022,novembro,6,7,9,8,7.5,Bom
1367,Inês Fernandes,Diretor de Departamento,2021,setembro,9,7,6,6,7.0,Bom
1368,Raquel Alves,Secretariado,2021,abril,8,6,3,8,6.25,Regular
1369,Marcelo Alves,Consultor,2021,dezembro,8,7,8,8,7.75,Bom
1370,José Fernandes,Assistente de Direção,2022,abril,9,7,7,8,7.75,Bom
1371,Beatriz Benjamim,Contabilista,2023,setembro,6,6,8,8,7.0,Bom
1372,Marcelo Martins,Assistente Financeiro,2023,outubro,9,5,7,8,7.25,Bom
1373,Maria Pinto,Designer,2022,dezembro,9,7,8,8,8.0,Muito Bom
1374,Luís Manave,Diretor de Departamento,2022,setembro,6,7,8,8,7.25,Bom
1375,Carlos Machado,Técnico de Informática,2022,fevereiro,7,7,6,8,7.0,Bom
1376,Vítor Silva,Assistente Financeiro,2024,setembro,9,7,8,7,7.75,Bom
1377,Mariana Machava,Técnico de Laboratório,2022,janeiro,8,7,8,8,7.75,Bom
1378,Gonçalo Gomes,Assistente Financeiro,2023,janeiro,8,7,9,8,8.0,Muito Bom
1379,Ana Coelho,Assistente de Direção,2022,março,9,7,6,8,7.5,Bom
1380,Laura Mendes,Engenheiro,2023,março,8,7,8,8,7.75,Bom
1381,José Raposo,Analista de Dados,2021,abril,9,7,6,8,7.5,Bom
1382,Eduarda Ribeiro,Assistente de Direção,2021,março,5,7,7,8,6.75,Bom
1383,Lúcia Conceiao,Supervisor,2023,dezembro,9,7,9,7,8.0,Muito Bom
1384,Manuel Chapo,Marketing,2021,julho,5,7,9,8,7.25,Bom
1385,Sara Coelho,Consultor,2022,dezembro,9,7,9,8,8.25,Muito Bom
1386,Gonçalo Machava,Designer,2023,fevereiro,9,7,5,8,7.25,Bom
1387,Tânia Neves,Coordenador,2022,abril,7,6,5,8,6.5,Bom
1388,Alexandre Nunes,Assistente de Direção,2024,outubro,8,7,9,8,8.0,Muito Bom
1389,Hugo Neves,Recursos Humanos,2024,março,9,5,9,8,7.75,Bom
1390,Pedro Ferreira,Gestor de Projetos,2024,abril,9,6,9,7,7.75,Bom
1391,António Soares,Coordenador,2024,março,9,6,9,6,7.5,Bom
1392,Raquel Coelho,Assistente de Direção,2023,maio,9,6,8,8,7.75,Bom
1393,Nuno Mendes,Técnico de Informática,2021,abril,9,7,5,8,7.25,Bom
1394,João Machel,Secretariado,2022,dezembro,8,7,9,8,8.0,Muito Bom
1395,Sara Conceiao,Gestor de Projetos,2022,fevereiro,5,7,4,8,6.0,Regular
1396,Mariana Cruz,Supervisor,2023,janeiro,7,6,7,7,6.75,Bom
1397,Laura Monteiro,Assistente Administrativo,2021,fevereiro,9,7,9,6,7.75,Bom
1398,Beatriz Fernandes,Designer,2024,abril,7,6,9,8,7.5,Bom
1399,Beatriz Correia,Assistente Financeiro,2023,junho,9,7,5,8,7.25,Bom
1400,Laura Rodrigues,Contabilista,2023,novembro,7,5,9,8,7.25,Bom
1401,Filipa Santos,Gestor de Projetos,2021,dezembro,7,7,7,8,7.25,Bom
1402,Fernando Ribeiro,Engenheiro,2022,julho,9,7,8,8,8.0,Muito Bom
1403,Pedro Morais,Secretariado,2022,julho,9,7,7,7,7.5,Bom
1404,Helena Baptista,Gestor de Projetos,2024,dezembro,9,7,7,8,7.75,Bom
1405,Teresa Manave,Coordenador,2022,novembro,7,7,9,7,7.5,Bom
1406,Tânia Chapo,Marketing,2021,junho,9,7,9,8,8.25,Muito Bom
1407,Carlos Gomes,Diretor de Departamento,2022,junho,4,7,9,6,6.5,Bom
1408,João Cardoso,Diretor de Departamento,2023,novembro,9,7,7,8,7.75,Bom
1409,Ricardo Massango,Técnico de Informática,2023,setembro,9,5,5,8,6.75,Bom
1410,Cláudia Baptista,Técnico de Laboratório,2024,fevereiro,9,5,6,8,7.0,Bom
1411,Gonçalo Pinto,Técnico de Informática,2024,fevereiro,7,6,9,8,7.5,Bom
1412,Alexandre Azevedo,Técnico de Laboratório,2022,junho,8,7,9,6,7.5,Bom
1413,Marcelo Machel,Coordenador,2022,julho,7,7,9,8,7.75,Bom
1414,Fernando Gomes,Analista de Dados,2023,junho,7,7,7,8,7.25,Bom
1415,Hugo Rodrigues,Técnico de Laboratório,2021,junho,8,7,9,8,8.0,Muito Bom
1416,Sofia Nunes,Diretor de Departamento,2022,abril,5,5,8,8,6.5,Bom
1417,Gonçalo Baptista,Técnico de Laboratório,2022,julho,9,5,8,8,7.5,Bom
1418,Gonçalo Rocha,Secretariado,2022,abril,6,5,9,8,7.0,Bom
1419,Patrícia Machava,Técnico de Laboratório,2021,junho,6,7,9,8,7.5,Bom
1420,Helena Neves,Marketing,2024,maio,4,7,8,8,6.75,Bom
1421,Tânia Lopes,Marketing,2023,setembro,9,6,9,8,8.0,Muito Bom
1422,Vítor Matos,Gestor de Projetos,2021,março,6,7,9,7,7.25,Bom
1423,Sara Rocha,Técnico de Informática,2023,fevereiro,9,7,5,8,7.25,Bom
1424,Diana Albazine,Diretor de Departamento,2022,julho,7,7,7,6,6.75,Bom
1425,Francisco Martins,Gestor de Projetos,2024,março,8,6,9,7,7.5,Bom
1426,Rui Martins,Assistente Financeiro,2024,maio,9,7,9,8,8.25,Muito Bom
1427,André Costa,Assistente Administrativo,2024,novembro,9,6,8,8,7.75,Bom
1428,Fernando Azevedo,Técnico de Informática,2023,junho,9,7,6,6,7.0,Bom
1429,Manuel Fernandes,Coordenador,2023,junho,7,7,9,7,7.5,Bom
1430,Helena Albazine,Assistente de Direção,2023,setembro,9,6,9,8,8.0,Muito Bom
1431,Marcelo Conceiao,Auditor,2024,outubro,6,7,6,8,6.75,Bom
1432,Rui Manave,Coordenador,2024,maio,9,6,9,8,8.0,Muito Bom
1433,Vítor Lopes,Secretariado,2024,junho,8,6,6,8,7.0,Bom
1434,Luís Alves,Técnico de Informática,2022,outubro,8,6,9,8,7.75,Bom
1435,José Benjamim,Engenheiro,2021,abril,9,7,6,6,7.0,Bom
1436,Pedro Martins,Marketing,2022,abril,2,7,7,8,6.0,Regular
1437,André Matos,Secretariado,2023,março,7,6,9,8,7.5,Bom
1438,Cláudia Monteiro,Contabilista,2021,abril,9,7,7,8,7.75,Bom
1439,André Matos,Auditor,2023,junho,9,7,9,8,8.25,Muito Bom
1440,Beatriz Barros,Analista de Dados,2022,junho,9,7,9,7,8.0,Muito Bom
1441,João Rodrigues,Gestor de Projetos,2021,maio,9,6,9,8,8.0,Muito Bom
1442,Marcelo Massango,Assistente de Direção,2022,julho,9,6,6,8,7.25,Bom
1443,Patrícia Morais,Técnico de Informática,2021,março,7,7,9,8,7.75,Bom
1444,Hugo Soares,Gestor de Projetos,2021,julho,9,6,9,7,7.75,Bom
1445,José Baptista,Técnico de Informática,2022,dezembro,5,7,9,8,7.25,Bom
1446,Laura Baptista,Analista de Dados,2024,janeiro,8,7,5,8,7.0,Bom
1447,André Manave,Supervisor,2022,setembro,7,6,9,8,7.5,Bom
1448,Manuel Costa,Gestor de Projetos,2022,abril,7,7,8,8,7.5,Bom
1449,Carlos Morais,Consultor,2024,dezembro,9,7,9,8,8.25,Muito Bom
1450,Manuel Pinto,Auditor,2021,julho,9,7,6,8,7.5,Bom
1451,António Neves,Coordenador,2024,fevereiro,7,7,4,7,6.25,Regular
1452,Manuel Santos,Assistente de Direção,2023,novembro,9,7,7,8,7.75,Bom
1453,Pedro Rodrigues,Marketing,2023,abril,7,7,6,8,7.0,Bom
1454,Diana Raposo,Diretor de Departamento,2024,abril,6,7,6,8,6.75,Bom
1455,Maria Nunes,Gestor de Projetos,2023,fevereiro,9,7,7,8,7.75,Bom
1456,Sara Manave,Auditor,2024,março,9,7,5,8,7.25,Bom
1457,Pedro Costa,Técnico de Laboratório,2022,janeiro,9,7,8,8,8.0,Muito Bom
1458,Diana Rodrigues,Recursos Humanos,2023,setembro,7,7,8,8,7.5,Bom
1459,Ricardo Silva,Diretor de Departamento,2022,setembro,9,7,6,8,7.5,Bom
1460,Marcelo Mendes,Assistente Administrativo,2023,janeiro,9,5,9,6,7.25,Bom
1461,Rui Rocha,Marketing,2023,maio,6,5,9,7,6.75,Bom
1462,Diana Conceiao,Diretor de Departamento,2021,novembro,8,7,9,8,8.0,Muito Bom
1463,João Benjamim,Recursos Humanos,2023,julho,9,7,5,8,7.25,Bom
1464,Marcelo Conceiao,Engenheiro,2024,junho,9,6,7,8,7.5,Bom
1465,Nuno Manave,Consultor,2023,maio,8,6,7,8,7.25,Bom
1466,António Azevedo,Analista de Dados,2023,setembro,9,6,8,8,7.75,Bom
1467,José Marques,Secretariado,2023,maio,7,7,7,8,7.25,Bom
1468,Nuno Matos,Assistente de Direção,2023,janeiro,9,7,9,8,8.25,Muito Bom
1469,André Vieira,Técnico de Laboratório,2022,novembro,8,7,7,8,7.5,Bom
1470,Eduarda Moreira,Coordenador,2021,janeiro,7,7,9,8,7.75,Bom
1471,Lúcia Neves,Secretariado,2021,maio,9,7,9,8,8.25,Muito Bom
1472,Marta Rocha,Assistente Financeiro,2021,janeiro,9,6,9,8,8.0,Muito Bom
1473,Lúcia Coelho,Coordenador,2024,outubro,9,7,7,8,7.75,Bom
1474,Alexandre Fernandes,Diretor de Departamento,2021,maio,9,7,9,8,8.25,Muito Bom
1475,Miguel Ferreira,Técnico de Laboratório,2021,agosto,6,7,9,8,7.5,Bom
1476,Marta Pinto,Supervisor,2024,outubro,7,6,9,6,7.0,Bom
1477,Ricardo Pereira,Técnico de Laboratório,2023,maio,9,5,8,8,7.5,Bom
1478,Marcelo Alves,Designer,2021,março,9,7,8,7,7.75,Bom
1479,Francisco Raposo,Secretariado,2022,janeiro,9,7,8,8,8.0,Muito Bom
1480,Maria Teixeira,Engenheiro,2021,agosto,8,7,9,7,7.75,Bom
1481,Bruno Monteiro,Diretor de Departamento,2021,maio,5,7,9,8,7.25,Bom
1482,João Albazine,Consultor,2021,agosto,8,7,7,8,7.5,Bom
1483,Lúcia Massango,Assistente de Direção,2021,julho,9,5,9,8,7.75,Bom
1484,Diana Chicava,Assistente de Direção,2023,outubro,9,7,9,6,7.75,Bom
1485,Rui Silva,Assistente Administrativo,2024,fevereiro,8,6,9,8,7.75,Bom
1486,Mariana Azevedo,Auditor,2022,março,7,7,8,8,7.5,Bom
1487,Sofia Gomes,Técnico de Informática,2021,agosto,7,7,9,8,7.75,Bom
1488,Vítor Cardoso,Contabilista,2024,dezembro,5,7,9,8,7.25,Bom
1489,Sofia Lopes,Assistente de Direção,2021,fevereiro,9,5,6,8,7.0,Bom
1490,Nuno Machado,Técnico de Laboratório,2023,maio,9,7,6,8,7.5,Bom
1491,André Albazine,Marketing,2021,dezembro,9,7,7,8,7.75,Bom
1492,João Rocha,Diretor de Departamento,2022,julho,9,6,8,7,7.5,Bom
1493,Vítor Soares,Técnico de Informática,2024,agosto,6,7,7,7,6.75,Bom
1494,Patrícia Costa,Assistente de Direção,2024,março,9,3,9,8,7.25,Bom
1495,Bruno Neves,Assistente de Direção,2023,junho,9,7,6,8,7.5,Bom
1496,André Vieira,Assistente Administrativo,2024,novembro,6,7,9,8,7.5,Bom
1497,Catarina Barros,Marketing,2022,fevereiro,7,7,9,8,7.75,Bom
1498,Rui Vieira,Assistente Financeiro,2024,janeiro,9,7,6,8,7.5,Bom
1499,Bruno Teixeira,Secretariado,2024,dezembro,9,7,7,8,7.75,Bom
1500,Patrícia Martins,Consultor,2023,outubro,9,7,8,7,7.75,Bom
1501,Filipa Coelho,Auditor,2024,outubro,8,7,7,8,7.5,Bom
1502,Raquel Conceiao,Assistente Administrativo,2024,julho,8,7,9,8,8.0,Muito Bom
1503,Diana Ribeiro,Engenheiro,2022,dezembro,8,7,9,7,7.75,Bom
1504,Eduarda Vieira,Supervisor,2023,maio,8,6,6,7,6.75,Bom
1505,Ana Albazine,Assistente Administrativo,2024,fevereiro,5,7,9,6,6.75,Bom
1506,Maria Manave,Engenheiro,2023,abril,9,6,9,4,7.0,Bom
1507,Sofia Barros,Consultor,2021,junho,9,7,9,8,8.25,Muito Bom
1508,Marcelo Alves,Assistente de Direção,2022,março,7,7,9,8,7.75,Bom
1509,José Silva,Supervisor,2021,dezembro,9,7,7,6,7.25,Bom
1510,Nuno Cardoso,Consultor,2022,dezembro,9,7,9,8,8.25,Muito Bom
1511,Sofia Chapo,Auditor,2023,novembro,8,7,7,8,7.5,Bom
1512,Ricardo Pereira,Consultor,2022,janeiro,6,6,9,8,7.25,Bom
1513,André Chicava,Recursos Humanos,2022,maio,9,7,7,8,7.75,Bom
1514,Ana Correia,Assistente Administrativo,2021,dezembro,6,5,8,8,6.75,Bom
1515,Beatriz Lopes,Assistente Financeiro,2024,agosto,9,7,9,8,8.25,Muito Bom
1516,Carlos Rodrigues,Contabilista,2022,agosto,5,5,9,8,6.75,Bom
1517,Laura Morais,Contabilista,2021,setembro,7,7,8,8,7.5,Bom
1518,Rui Vieira,Consultor,2022,fevereiro,9,7,8,8,8.0,Muito Bom
1519,João Barros,Designer,2022,novembro,9,7,6,8,7.5,Bom
1520,Paulo Albazine,Técnico de Laboratório,2021,janeiro,5,7,7,8,6.75,Bom
1521,Fernando Rodrigues,Auditor,2022,outubro,9,7,8,8,8.0,Muito Bom
1522,Nuno Baptista,Secretariado,2022,março,4,7,9,8,7.0,Bom
1523,Raquel Nunes,Assistente Administrativo,2024,abril,9,7,6,7,7.25,Bom
1524,Luís Manave,Assistente Financeiro,2024,setembro,9,7,8,8,8.0,Muito Bom
1525,Rui Fernandes,Secretariado,2023,março,8,7,7,8,7.5,Bom
1526,Vítor Azevedo,Contabilista,2021,setembro,8,7,7,7,7.25,Bom
1527,Fernando Cruz,Assistente Administrativo,2022,dezembro,8,6,9,7,7.5,Bom
1528,Filipa Chapo,Gestor de Projetos,2024,abril,9,5,9,8,7.75,Bom
1529,José Ribeiro,Técnico de Informática,2021,outubro,9,6,7,8,7.5,Bom
1530,Diana Gomes,Consultor,2024,julho,9,7,9,8,8.25,Muito Bom
1531,Marta Carvalho,Gestor de Projetos,2021,maio,9,6,7,7,7.25,Bom
1532,Rui Alves,Recursos Humanos,2022,outubro,7,7,9,8,7.75,Bom
1533,Lúcia Coelho,Engenheiro,2022,setembro,6,7,6,7,6.5,Bom
1534,Vítor Neves,Analista de Dados,2022,janeiro,7,7,9,8,7.75,Bom
1535,Marcelo Machado,Supervisor,2021,junho,6,5,9,8,7.0,Bom
1536,Diana Mendes,Secretariado,2024,setembro,6,6,7,8,6.75,Bom
1537,Diana Correia,Assistente Administrativo,2021,julho,9,7,8,8,8.0,Muito Bom
1538,Filipa Correia,Analista de Dados,2023,janeiro,8,7,9,8,8.0,Muito Bom
1539,Gonçalo Chicava,Auditor,2021,junho,9,7,9,8,8.25,Muito Bom
1540,António Fernandes,Consultor,2021,maio,8,5,9,8,7.5,Bom
1541,Beatriz Ferreira,Técnico de Laboratório,2021,dezembro,8,6,8,7,7.25,Bom
1542,Bruno Coelho,Recursos Humanos,2023,agosto,9,6,8,8,7.75,Bom
1543,Carlos Barros,Supervisor,2024,junho,6,7,9,8,7.5,Bom
1544,André Albazine,Assistente de Direção,2022,dezembro,8,7,9,8,8.0,Muito Bom
1545,Sofia Barros,Assistente Financeiro,2021,outubro,9,5,8,8,7.5,Bom
1546,Mariana Soares,Secretariado,2021,maio,9,7,6,7,7.25,Bom
1547,Raquel Correia,Assistente Administrativo,2021,outubro,7,7,9,8,7.75,Bom
